time,value
1946-01-01,890
1946-02-01,992
1946-03-01,979
1946-04-01,959
1946-05-01,1110
1946-06-01,1546
1946-07-01,1539
1946-08-01,3401
1946-09-01,2092
1946-10-01,1436
1946-11-01,1301
1946-12-01,1287
1947-01-01,1488
1947-02-01,1517
1947-03-01,1707
1947-04-01,1729
1947-05-01,1788
1947-06-01,2008
1947-07-01,2203
1947-08-01,3713
1947-09-01,2946
1947-10-01,2082
1947-11-01,2033
1947-12-01,1937
1948-01-01,1711
1948-02-01,1775
1948-03-01,1902
1948-04-01,1846
1948-05-01,2083
1948-06-01,2262
1948-07-01,2193
1948-08-01,3792
1948-09-01,2343
1948-10-01,2313
1948-11-01,2179
1948-12-01,1975
1949-01-01,1880
1949-02-01,1930
1949-03-01,2060
1949-04-01,1843
1949-05-01,2052
1949-06-01,2039
1949-07-01,2351
1949-08-01,3394
1949-09-01,3581
1949-10-01,2489
1949-11-01,2468
1949-12-01,2134
1950-01-01,1903
1950-02-01,1719
1950-03-01,1617
1950-04-01,1818
1950-05-01,2067
1950-06-01,2457
1950-07-01,2600
1950-08-01,3530
1950-09-01,2693
1950-10-01,2448
1950-11-01,2250
1950-12-01,1972
1951-01-01,1682
1951-02-01,1730
1951-03-01,1814
1951-04-01,1900
1951-05-01,2051
1951-06-01,2290
1951-07-01,2599
1951-08-01,3428
1951-09-01,2262
1951-10-01,2242
1951-11-01,2103
1951-12-01,1825
1952-01-01,1670
1952-02-01,1681
1952-03-01,1713
1952-04-01,1954
1952-05-01,1876
1952-06-01,2272
1952-07-01,2612
1952-08-01,3590
1952-09-01,2496
1952-10-01,2441
1952-11-01,2340
1952-12-01,2090
1953-01-01,1812
1953-02-01,1788
1953-03-01,1837
1953-04-01,1993
1953-05-01,2021
1953-06-01,2199
1953-07-01,2622
1953-08-01,3787
1953-09-01,2914
1953-10-01,2487
1953-11-01,2314
1953-12-01,2139
1954-01-01,2124
1954-02-01,2214
1954-03-01,2234
1954-04-01,2279
1954-05-01,2423
1954-06-01,2290
1954-07-01,2903
1954-08-01,4485
1954-09-01,3085
1954-10-01,2852
1954-11-01,2629
1954-12-01,2435
1955-01-01,2227
1955-02-01,1944
1955-03-01,2125
1955-04-01,2260
1955-05-01,2299
1955-06-01,2323
1955-07-01,2659
1955-08-01,3761
1955-09-01,2779
1955-10-01,2761
1955-11-01,2446
1955-12-01,2278
1956-01-01,1879
1956-02-01,1881
1956-03-01,2165
1956-04-01,2199
1956-05-01,2308
1956-06-01,2529
1956-07-01,2573
1956-08-01,3946
1956-09-01,3200
1956-10-01,2574
1956-11-01,2422
1956-12-01,2446
1957-01-01,2828
1957-02-01,2879
1957-03-01,2800
1957-04-01,2835
1957-05-01,2585
1957-06-01,2787
1957-07-01,3334
1957-08-01,4746
1957-09-01,3613
1957-10-01,3463
1957-11-01,3274
1957-12-01,2801
1958-01-01,2488
1958-02-01,2386
1958-03-01,2428
1958-04-01,2678
1958-05-01,2744
1958-06-01,2772
1958-07-01,3520
1958-08-01,3833
1958-09-01,3377
1958-10-01,3013
1958-11-01,2871
1958-12-01,2592
1959-01-01,2375
1959-02-01,2304
1959-03-01,2464
1959-04-01,2557
1959-05-01,2739
1959-06-01,2714
1959-07-01,3102
1959-08-01,3961
1959-09-01,3772
1959-10-01,3245
1959-11-01,3104
1959-12-01,2869
1960-01-01,2513
1960-02-01,2385
1960-03-01,2756
1960-04-01,2927
1960-05-01,2940
1960-06-01,3180
1960-07-01,3791
1960-08-01,4093
1960-09-01,4309
1960-10-01,3532
1960-11-01,3408
1960-12-01,2839
1961-01-01,2792
1961-02-01,2798
1961-03-01,3007
1961-04-01,3086
1961-05-01,3201
1961-06-01,3428
1961-07-01,3754
1961-08-01,4917
1961-09-01,3760
1961-10-01,3609
1961-11-01,3471
1961-12-01,3347
1962-01-01,3333
1962-02-01,3456
1962-03-01,3569
1962-04-01,3900
1962-05-01,3909
1962-06-01,4098
1962-07-01,4826
1962-08-01,5770
1962-09-01,5108
1962-10-01,4360
1962-11-01,4100
1962-12-01,3562
1963-01-01,3284
1963-02-01,3278
1963-03-01,3424
1963-04-01,3843
1963-05-01,3614
1963-06-01,3536
1963-07-01,4505
1963-08-01,5456
1963-09-01,4881
1963-10-01,4041
1963-11-01,3724
1963-12-01,3525
1964-01-01,3437
1964-02-01,3324
1964-03-01,3977
1964-04-01,4025
1964-05-01,4016
1964-06-01,4031
1964-07-01,4489
1964-08-01,5563
1964-09-01,5709
1964-10-01,4620
1964-11-01,4160
1964-12-01,4012
1965-01-01,3987
1965-02-01,4155
1965-03-01,4054
1965-04-01,4485
1965-05-01,4558
1965-06-01,4462
1965-07-01,4594
1965-08-01,6481
1965-09-01,6345
1965-10-01,5142
1965-11-01,4824
1965-12-01,4573
1966-01-01,4158
1966-02-01,4140
1966-03-01,4251
1966-04-01,4734
1966-05-01,4858
1966-06-01,4798
1966-07-01,5080
1966-08-01,6905
1966-09-01,5504
1966-10-01,5457
1966-11-01,5198
1966-12-01,4890